Var1_1,Var1_2
-37,-15
-31,-9
-29,-11
-27,-11
-21,-9
-19,-7
-19,-7
-13,-9
-11,-9
-5,-5
-1,-7
5,-7
9,-5
15,1
19,-1
21,-1
21,5
23,11
21,15
15,11
9,9
1,9
-9,5
-15,-1
-21,-3
-23,-3
-25,-5
-25,-7
-25,-7
-25,-3
-25,-7
-27,-7
-27,-5
-27,-5
-27,-5
-25,-9
-25,-5
-25,-7
-27,-9
-27,-11
-31,-13
-29,-11
-33,-15
-33,-15
-31,-15
-35,-17
-33,-19
-29,-21
-19,-11
-9,1
-11,-7
-21,-19
-21,-17
-33,-23
-39,-25
-41,-25
-45,-25
-43,-23
-43,-25
-43,-27
-41,-25
-41,-23
-43,-23
-43,-27
-43,-23
-43,-21
-39,-21
-35,-21
-53,-15
-87,-5
-47,31
77,63
265,-59
299,-95
71,-145
-103,-187
-113,-111
-73,-43
-45,-9
-41,-7
-43,-11
-47,-11
-45,-9
-45,-9
-43,-11
-39,-7
-39,-5
-41,-7
-35,-5
-37,-5
-35,-3
-33,-3
-29,-3
-25,1
-23,1
-21,1
-17,1
-17,5
-11,5
-9,5
-3,5
3,9
7,11
9,9
17,9
21,11
27,15
29,15
31,19
33,21
29,23
21,19
17,15
7,11
1,5
-7,-1
-13,-3
-13,-5
-17,-9
-19,-11
-19,-11
-19,-11
-21,-9
-21,-11
-17,-11
-17,-9
-19,-7
-19,-9
-17,-9
-17,-7
-17,-7
-19,-11
-17,-11
-17,-9
-19,-13
-21,-15
-25,-17
-23,-17
-25,-15
-27,-19
-25,-19
-23,-19
-27,-19
-29,-23
-25,-25
-13,-15
1,-1
1,-7
-7,-13
-11,-17
-17,-19
-27,-21
-29,-23
-33,-25
-33,-23
-33,-25
-35,-27
-31,-27
-33,-27
-35,-27
-31,-29
-33,-25
-31,-25
-29,-25
-31,-21
-79,-5
-51,15
71,51
291,-77
307,-115
17,-179
-115,-179
-91,-79
-45,-23
-25,-3
-31,-11
-37,-11
-35,-11
-35,-13
-35,-13
-31,-9
-33,-7
-31,-9
-31,-11
-29,-9
-25,-5
-25,-7
-23,-7
-19,-3
-17,-1
-13,-1
-11,-1
-11,1
-5,3
-1,5
3,3
9,5
13,9
15,9
21,9
27,11
35,13
39,15
43,13
47,19
45,23
39,23
33,17
23,13
19,11
9,3
3,-3
-3,-11
-7,-9
-9,-13
-11,-15
-13,-15
-11,-13
-11,-13
-9,-15
-7,-13
-9,-11
-9,-13
-9,-15
-13,-13
-11,-13
-9,-13
-9,-15
-9,-17
-9,-15
-9,-17
-11,-21
-15,-23
-13,-21
-17,-23
-19,-25
-19,-25
-19,-23
-19,-27
-19,-29
-23,-27
-21,-27
-21,-31
-17,-33
-1,-21
11,-9
7,-13
-5,-27
-15,-27
-17,-29
-21,-29
-27,-33
-29,-33
-25,-31
-25,-31
-29,-35
-29,-33
-31,-31
-31,-33
-29,-33
-29,-33
-25,-29
-25,-27
-23,-31
-49,-21
-85,-17
-7,55
155,-25
349,-83
195,-131
-67,-207
-107,-143
-71,-63
-31,-17
-25,-7
-29,-15
-33,-19
-29,-15
-31,-15
-31,-15
-27,-15
-29,-13
-27,-11
-27,-13
-25,-13
-21,-9
-19,-9
-19,-11
-17,-9
-9,-7
-7,-3
-5,-5
1,-3
3,-1
5,1
13,-1
15,3
21,5
27,5
33,7
39,9
41,13
43,15
45,15
39,17
37,17
27,11
17,7
13,5
7,-1
-3,-9
-3,-13
-11,-15
-9,-15
-13,-15
-11,-17
-9,-13
-11,-15
-11,-15
-9,-15
-11,-15
-11,-15
-9,-15
-13,-19
-11,-17
-9,-17
-11,-19
-11,-21
-15,-21
-13,-21
-15,-21
-17,-25
-17,-27
-17,-25
-21,-27
-19,-29
-21,-29
-21,-27
-23,-31
-21,-35
-13,-33
-1,-21
7,-11
3,-17
-11,-29
-11,-27
-19,-33
-25,-35
-25,-35
-25,-33
-29,-33
-29,-37
-31,-35
-29,-31
-29,-33
-29,-35
-25,-33
-27,-29
-23,-29
-23,-31
-69,-19
-75,-17
5,59
193,-1
361,-55
209,-105
-51,-197
-117,-165
-81,-79
-41,-33
-21,-11
-27,-19
-27,-21
-29,-19
-29,-19
-29,-21
-29,-19
-27,-17
-27,-15
-23,-17
-21,-17
-17,-13
-19,-15
-17,-15
-19,-13
-13,-11
-7,-9
-9,-13
-1,-11
5,-5
7,-7
7,-9
9,-7
19,-5
27,-3
27,-5
37,-3
41,3
47,5
47,5
49,7
49,11
47,15
37,11
33,9
25,7
15,1
7,-5
5,-7
-5,-13
-9,-11
-7,-13
-11,-17
-11,-15
-11,-13
-11,-15
-7,-17
-11,-13
-7,-11
-9,-13
-7,-15
-5,-13
-5,-11
-9,-13
-7,-15
-11,-17
-7,-15
-9,-17
-11,-23
-7,-23
-7,-19
7,-9
13,-7
3,-13
1,-19
-5,-19
-17,-29
-19,-29
-23,-27
-27,-29
-25,-31
-29,-29
-27,-27
-27,-29
-29,-31
-25,-29
-27,-23
-27,-27
-25,-25
-19,-25
-37,-19
-87,-13
-53,13
111,81
333,-17
299,-75
21,-163
-117,-171
-101,-107
-63,-51
-31,-19
-25,-9
-31,-13
-35,-15
-31,-15
-31,-15
-31,-9
-29,-11
-29,-11
-23,-7
-25,-5
-25,-9
-21,-7
-21,-7
-17,-3
-17,-3
-9,-3
-7,-1
-7,-1
-3,-3
-1,1
9,3
11,1
13,-1
23,3
27,7
29,5
33,5
35,7
41,13
39,15
31,15
27,15
17,15
11,9
3,3
-9,-1
-11,-3
-13,-3
-17,-7
-15,-7
-15,-5
-17,-7
-17,-7
-19,-7
-17,-5
-15,-5
-15,-7
-13,-5
-13,-5
-13,-5
-13,-9
-17,-9
-15,-7
-15,-9
-17,-9
-17,-13
-19,-13
-15,-17
-11,-17
-3,-3
3,1
-5,-11
-11,-15
-17,-15
-27,-19
-29,-21
-35,-23
-35,-21
-33,-21
-35,-21
-35,-23
-31,-21
-33,-19
-35,-21
-33,-23
-35,-21
-29,-17
-31,-15
-65,-3
-73,-1
-7,65
143,27
325,-65
243,-103
-17,-165
-115,-155
-93,-69
-47,-23
-29,3
-35,-3
-37,-5
-41,-5
-37,-3
-37,-3
-35,-5
-31,-1
-33,1
-31,-1
-29,-1
-33,1
-27,3
-25,1
-23,1
-19,5
-17,9
-13,7
-9,9
-9,9
-3,11
1,13
5,11
15,15
15,17
21,17
25,15
27,19
33,21
35,23
37,23
33,25
25,27
17,21
7,13
-3,11
-7,5
-13,1
-17,-5
-15,-5
-21,-5
-23,-7
-23,-9
-25,-7
-21,-5
-19,-5
-23,-9
-19,-5
-17,-3
-19,-5
-19,-7
-23,-7
-19,-5
-19,-7
-19,-9
-19,-9
-17,-7
-19,-11
-23,-13
-27,-13
-23,-11
-25,-13
-29,-19
-27,-21
-21,-19
-11,-7
1,-1
-5,-9
-13,-15
-19,-17
-29,-23
-27,-23
-33,-23
-33,-21
-37,-25
-35,-25
-35,-25
-37,-23
-37,-25
-33,-27
-31,-25
-33,-25
-31,-25
-31,-23
-67,-7
-79,-3
13,69
205,-47
351,-99
119,-139
-101,-195
-109,-105
-63,-35
-31,-1
-31,-5
-35,-9
-35,-9
-37,-9
-33,-11
-35,-9
-33,-7
-33,-5
-33,-7
-29,-5
-27,-3
-27,-3
-25,-5
-23,-3
-19,3
-17,1
-15,1
-9,5
-5,7
-3,7
1,7
1,9
11,13
17,13
19,9
29,11
33,15
37,17
37,15
37,21
43,23
37,25
29,19
25,17
17,15
7,9
1,1
-3,-3
-13,-5
-15,-7
-15,-11
-15,-13
-13,-11
-17,-9
-17,-11
-15,-11
-19,-11
-15,-9
-15,-11
-15,-11
-13,-9
-13,-9
-13,-9
-15,-11
-19,-13
-15,-9
-17,-11
-15,-15
-15,-15
-17,-13
-19,-17
-21,-19
-27,-21
-23,-19
-23,-21
-25,-23
-21,-21
-25,-21
-25,-23
-23,-23
-29,-25
-25,-19
-23,-21
-25,-23
-25,-25
-23,-23
-25,-23
-25,-25
-29,-25
-25,-23
-27,-27
-19,-29
-7,-19
3,-7
-3,-15
-11,-21
-21,-23
-23,-23
-27,-27
-27,-29
-27,-27
-29,-27
-31,-31
-33,-29
-31,-27
-29,-27
-31,-29
-23,-29
-19,-23
-37,-19
-81,-11
-39,27
87,41
311,-77
289,-115
15,-173
-105,-177
-87,-79
-37,-27
-25,-5
-27,-9
-31,-15
-31,-17
-29,-11
-29,-13
-27,-13
-27,-13
-29,-13
-27,-9
-25,-11
-23,-9
-19,-9
-21,-7
-17,-7
-17,-7
-15,-5
-9,-1
-7,-1
-1,-1
3,1
7,3
11,5
15,3
17,5
25,9
33,9
39,9
47,11
49,15
51,19
51,17
47,17
41,19
35,17
27,13
21,7
15,3
3,-1
-3,-5
-3,-9
-11,-11
-9,-11
-13,-15
-11,-15
-9,-13
-9,-15
-9,-15
-11,-15
-11,-11
-11,-11
-11,-13
-9,-13
-7,-11
-11,-15
-11,-15
-15,-17
-13,-15
-11,-17
-13,-21
-11,-21
-15,-19
-17,-23
-21,-25
-23,-25
-21,-25
-21,-27
-21,-29
-21,-27
-21,-25
-21,-27
-23,-27
-27,-29
-23,-27
-21,-27
-23,-31
-19,-27
-21,-25
-23,-27
-21,-29
-23,-27
-23,-27
-21,-29
-21,-29
-21,-27
-19,-27
-23,-27
-21,-29
-23,-29
-21,-31
-13,-29
1,-19
11,-7
3,-15
-5,-23
-9,-27
-17,-31
-19,-29
-23,-31
-25,-31
-23,-31
-23,-31
-23,-31
-25,-31
-27,-31
-25,-29
-25,-29
-23,-31
-17,-27
-21,-23
-59,-13
-61,-9
13,61
175,-33
321,-67
201,-119
-21,-197
-97,-161
-75,-73
-45,-33
-27,-11
-27,-15
-29,-15
-31,-19
-29,-19
-27,-15
-27,-13
-29,-17
-27,-17
-25,-15
-25,-11
-23,-15
-23,-13
-21,-13
-19,-9
-17,-11
-11,-9
-11,-7
-7,-5
-5,-5
-3,-5
3,-3
7,-1
11,-3
17,-1
19,1
29,3
33,3
37,5
43,9
45,11
43,11
43,13
33,15
27,13
19,9
9,1
5,-1
-5,-5
-11,-13
-11,-15
-17,-15
-19,-17
-23,-19
-23,-19
-19,-15
-21,-17
-23,-19
-21,-17
-19,-17
-19,-13
-21,-19
-19,-17
-17,-17
-19,-17
-19,-19
-19,-19
-21,-21
-21,-23
-23,-23
-23,-25
-23,-23
-25,-25
-27,-29
-31,-29
-29,-27
-29,-29
-31,-31
-29,-31
-29,-29
-31,-29
-33,-35
-35,-35
-29,-29
-13,-17
-5,-15
-7,-21
-17,-25
-19,-25
-29,-31
-35,-31
-33,-31
-35,-29
-39,-35
-37,-33
-37,-31
-35,-33
-39,-31
-35,-31
-35,-29
-35,-29
-33,-29
-27,-27
-39,-21
-89,-15
-67,5
41,71
257,3
357,-57
135,-117
-79,-179
-119,-137
-89,-71
-53,-33
-35,-15
-37,-13
-37,-17
-39,-19
-37,-17
-41,-11
-35,-15
-35,-17
-31,-15
-31,-13
-31,-15
-33,-15
-27,-17
-25,-11
-27,-13
-27,-13
-21,-11
-17,-9
-13,-11
-9,-13
-1,-7
3,-7
5,-9
9,-5
19,-3
21,-3
25,-1
29,-1
33,5
31,9
33,15
27,11
17,9
5,7
3,3
-5,-5
-15,-7
-21,-9
-17,-13
-31,-17
-33,-17
-31,-17
-27,-19
-33,-19
-35,-21
-23,-17
-27,-15
-31,-21
-25,-21
-29,-17
-23,-17
-23,-19
-21,-23
-23,-17
-23,-19
-25,-23
-23,-23
-29,-25
-27,-25
-27,-29
-31,-29
-27,-29
-37,-33
-23,-31
-19,-25
-7,-17
-13,-13
-17,-29
-19,-29
-31,-29
-41,-33
-41,-37
-45,-39
-45,-35
-45,-35
-41,-35
-43,-37
-41,-33
-41,-35
-43,-39
-45,-33
-41,-35
-37,-33
-39,-31
-71,-17
-45,9
59,75
223,13
299,-53
81,-133
-73,-165
-101,-117
-69,-61
-47,-33
-39,-21
-37,-25
-39,-27
-37,-25
-35,-25
-39,-27
-31,-25
-31,-25
-33,-23
-25,-25
-21,-19
-23,-19
-25,-23
-13,-19
-11,-13
-9,-17
-11,-19
-5,-17
-3,-13
1,-11
5,-7
11,-7
13,-5
17,-3
23,-3
25,-5
31,-1
33,-1
39,5
35,5
33,9
25,13
21,7
5,3
-3,1
-9,-1
-17,-7
-23,-11
-25,-11
-29,-13
-37,-13
-35,-15
-39,-15
-33,-13
-37,-13
-37,-15
-31,-11
-31,-7
-33,-9
-31,-11
-29,-7
-27,-5
-29,-7
-31,-9
-27,-9
-29,-9
-31,-7
-29,-13
-31,-13
-37,-15
-31,-17
-23,-13
-15,-3
-7,1
-17,-7
-21,-11
-25,-15
-39,-21
-39,-19
-43,-23
-43,-23
-41,-23
-41,-21
-45,-25
-43,-23
-43,-23
-41,-21
-43,-21
-41,-23
-39,-21
-35,-17
-59,-13
-99,-5
-55,39
97,89
311,-31
335,-85
13,-163
-127,-159
-113,-93
-69,-37
-45,-11
-41,-5
-43,-11
-43,-9
-41,-9
-41,-7
-45,-9
-43,-7
-41,-5
-39,-5
-39,-7
-33,-5
-31,-3
-31,1
-33,-3
-29,-1
-23,3
-21,3
-17,3
-9,7
-9,9
-5,11
1,9
5,11
13,13
19,15
23,11
29,15
31,21
31,19
29,19
21,19
17,19
5,11
-5,5
-9,3
-15,-1
-21,-3
-25,-11
-31,-9
-31,-11
-31,-11
-31,-15
-31,-13
-31,-9
-29,-11
-31,-13
-35,-11
-31,-9
-29,-9
-27,-9
-27,-9
-29,-5
-27,-7
-27,-9
-29,-9
-29,-11
-29,-11
-29,-13
-29,-13
-29,-11
-31,-13
-33,-17
-35,-21
-33,-19
-19,-11
-9,-1
-13,-7
-19,-15
-23,-15
-31,-23
-35,-23
-41,-21
-41,-25
-43,-25
-43,-27
-39,-23
-41,-23
-43,-27
-41,-25
-41,-23
-41,-23
-39,-25
-33,-23
-47,-9
-87,-1
-41,41
91,23
297,-97
287,-139
-11,-189
-125,-169
-93,-61
-51,-19
-37,-3
-43,-11
-41,-9
-41,-11
-41,-11
-39,-11
-39,-9
-39,-7
-37,-9
-37,-7
-35,-5
-31,-5
-29,-5
-25,-1
-25,-1
-23,1
-19,1
-17,3
-11,9
-7,9
-5,9
3,13
9,13
13,17
19,17
